dot0_x,dot0_y,dot0_radius
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
-1.739,0.466,0.2
